"internal_user_id","country_name","country_group","first_purchase_date","first_purchase_week","metric_purchase","metric_purchase_count"
368497,"Canada","Canada","2020-02-28","2020-09",20.185708518368994,1
368497,"Canada","Canada","2020-02-28","2020-09",101.64667615368978,7
368497,"Canada","Canada","2020-02-28","2020-09",25.619675911099726,2
455867,"Germany","Germany","2020-04-11","2020-15",80,3
455867,"Germany","Germany","2020-04-11","2020-15",20,1
455867,"Germany","Germany","2020-04-11","2020-15",170,4
455867,"Germany","Germany","2020-04-11","2020-15",70,2
455867,"Germany","Germany","2020-04-11","2020-15",70,3
455867,"Germany","Germany","2020-04-11","2020-15",340,6
455867,"Germany","Germany","2020-04-11","2020-15",30,2
455867,"Germany","Germany","2020-04-11","2020-15",40,1
455867,"Germany","Germany","2020-04-11","2020-15",20,1
455867,"Germany","Germany","2020-04-11","2020-15",240,6
455867,"Germany","Germany","2020-04-11","2020-15",130,4
455867,"Germany","Germany","2020-04-11","2020-15",0,0
455867,"Germany","Germany","2020-04-11","2020-15",100,3
455867,"Germany","Germany","2020-04-11","2020-15",20,1
455867,"Germany","Germany","2020-04-11","2020-15",20,1
455867,"Germany","Germany","2020-04-11","2020-15",0,0
455867,"Germany","Germany","2020-04-11","2020-15",30,1
455867,"Germany","Germany","2020-04-11","2020-15",0,0
455867,"Germany","Germany","2020-04-11","2020-15",0,0
455867,"Germany","Germany","2020-04-11","2020-15",100,4
455867,"Germany","Germany","2020-04-11","2020-15",360,6
455867,"Germany","Germany","2020-04-11","2020-15",10,1
455867,"Germany","Germany","2020-04-11","2020-15",0,0
455867,"Germany","Germany","2020-04-11","2020-15",20,1
455867,"Germany","Germany","2020-04-11","2020-15",40,1
455867,"Germany","Germany","2020-04-11","2020-15",140,5
455867,"Germany","Germany","2020-04-11","2020-15",90,3
455867,"Germany","Germany","2020-04-11","2020-15",50,2
455867,"Germany","Germany","2020-04-11","2020-15",80,3
455867,"Germany","Germany","2020-04-11","2020-15",20,1
455867,"Germany","Germany","2020-04-11","2020-15",0,0
455867,"Germany","Germany","2020-04-11","2020-15",0,0
420653,"Canada","Canada","2020-03-30","2020-14",6.399590426212723,1
404980,"New Zealand","New Zealand","2020-03-24","2020-13",0,0
404980,"New Zealand","New Zealand","2020-03-24","2020-13",0,0
404980,"New Zealand","New Zealand","2020-03-24","2020-13",5.354465624330692,1
404980,"New Zealand","New Zealand","2020-03-24","2020-13",0,0
404980,"New Zealand","New Zealand","2020-03-24","2020-13",0,0
404980,"New Zealand","New Zealand","2020-03-24","2020-13",0,0
404980,"New Zealand","New Zealand","2020-03-24","2020-13",0,0
404980,"New Zealand","New Zealand","2020-03-24","2020-13",0,0
404980,"New Zealand","New Zealand","2020-03-24","2020-13",0,0
404980,"New Zealand","New Zealand","2020-03-24","2020-13",0,0
480908,"Canada","Canada","2020-04-18","2020-16",39.40627873374491,3
480908,"Canada","Canada","2020-04-18","2020-16",39.26701570680628,2
480908,"Canada","Canada","2020-04-18","2020-16",65.44502617801047,7
480908,"Canada","Canada","2020-04-18","2020-16",0,0
480908,"Canada","Canada","2020-04-18","2020-16",0,0
480908,"Canada","Canada","2020-04-18","2020-16",0,0
497718,"Canada","Canada","2020-04-23","2020-17",0,0
497718,"Canada","Canada","2020-04-23","2020-17",32.838565611454094,1
244394,"Canada","Canada","2019-11-23","2019-47",23.931623931623932,1
244394,"Canada","Canada","2019-11-23","2019-47",27.249812657537984,1
